route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
11108,1,2,13,3,3,2,202,2,False
11108,1,2,13,4,3,2,1586,2,False
11108,1,2,13,5,3,2,1525,2,False
11108,1,2,13,6,3,2,947,2,False
11108,1,2,13,7,3,2,948,2,False
11108,1,2,13,8,3,2,952,2,False
11108,1,2,13,9,3,2,953,2,False
11108,1,2,13,10,3,2,954,2,False
5502,1,3,13,42,3,2,6028,2,False
11107,1,3,13,67,3,2,3093,2,False
11108,1,3,13,1,3,2,1711,2,False
11108,1,3,13,2,3,2,6189,2,False
11108,1,3,13,3,3,2,202,2,False
11108,1,3,13,4,3,2,1586,2,False
11108,1,3,13,5,3,2,1525,2,False
11108,1,3,13,6,3,2,947,2,False
11108,1,3,13,7,3,2,948,2,False
11108,1,3,13,8,3,2,952,2,False
11108,1,3,13,9,3,2,953,2,False
11108,1,3,13,10,3,2,954,2,False
5502,1,4,13,42,3,2,6028,2,False
11107,1,4,13,67,3,2,3093,2,False
11108,1,4,13,1,3,2,1711,2,False
11108,1,4,13,2,3,2,6189,2,False
11108,1,4,13,3,3,2,202,2,False
11108,1,4,13,4,3,2,1586,2,False
11108,1,4,13,5,3,2,1525,2,False
11108,1,4,13,6,3,2,947,2,False
11108,1,4,13,7,3,2,948,2,False
11108,1,4,13,8,3,2,952,2,False
11108,1,4,13,9,3,2,953,2,False
11108,1,4,13,10,3,2,954,2,False
5502,1,5,13,42,3,2,6028,2,False
11107,1,5,13,67,3,2,3093,2,False
11108,1,5,13,1,3,2,1711,2,False
11108,1,5,13,2,3,2,6189,2,False
11108,1,5,13,3,3,2,202,2,False
11108,1,5,13,4,3,2,1586,2,False
11108,1,5,13,5,3,2,1525,2,False
11108,1,5,13,6,3,2,947,2,False
11108,1,5,13,7,3,2,948,2,False
11108,1,5,13,8,3,2,952,2,False
11108,1,5,13,9,3,2,953,2,False
11108,1,5,13,10,3,2,954,2,False
5502,1,6,13,42,3,2,6028,2,False
11107,1,6,13,67,3,2,3093,2,False
11108,1,6,13,1,3,2,1711,2,False
11108,1,6,13,2,3,2,6189,2,False
11108,1,6,13,3,3,2,202,2,False
11108,1,6,13,4,3,2,1586,2,False
11108,1,6,13,5,3,2,1525,2,False
11108,1,6,13,6,3,2,947,2,False
