route_name,day_label,month,share,n
19,Fri,12,0.0,20
19,Sat,1,0.5555555555555556,9
19,Sat,2,0.6,10
19,Sat,3,0.75,4
19,Sat,4,0.75,4
19,Sat,5,1.0,3
19,Sat,6,0.6666666666666666,6
19,Sat,7,1.0,6
19,Sat,8,0.8333333333333334,6
19,Sat,9,0.875,8
19,Sat,10,0.875,8
19,Sat,11,0.7,10
19,Sat,12,0.0,0
22,Sun,1,0.0,20
22,Sun,2,0.0,20
22,Sun,3,0.0,18
22,Sun,4,0.0,14
22,Sun,5,0.3157894736842105,19
22,Sun,6,0.0,19
22,Sun,7,0.05555555555555555,18
22,Sun,8,0.0,6
22,Sun,9,0.0,19
22,Sun,10,0.05555555555555555,18
22,Sun,11,0.0,14
22,Sun,12,0.0,19
22,Mon,1,0.0,19
22,Mon,2,0.0,19
22,Mon,3,0.0,18
22,Mon,4,0.125,16
22,Mon,5,0.9411764705882353,17
22,Mon,6,0.13333333333333333,15
22,Mon,7,0.0,18
22,Mon,8,0.0,6
22,Mon,9,0.0,19
22,Mon,10,0.5,18
22,Mon,11,0.0,17
22,Mon,12,0.0,19
22,Tue,1,0.0,19
22,Tue,2,0.0,14
22,Tue,3,0.16666666666666666,18
22,Tue,4,0.0,19
22,Tue,5,0.75,16
22,Tue,6,0.0,14
22,Tue,7,0.05263157894736842,19
22,Tue,8,0.0,6
22,Tue,9,0.0,17
22,Tue,10,0.0,19
22,Tue,11,0.0,18
22,Tue,12,0.0,19
22,Wed,1,0.0,19
22,Wed,2,0.0,17
22,Wed,3,0.05263157894736842,19
22,Wed,4,0.1875,16
22,Wed,5,0.05263157894736842,19
22,Wed,6,0.1,10
22,Wed,7,0.0,19
22,Wed,8,0.0,6
22,Wed,9,0.0,18
22,Wed,10,0.0,11
22,Wed,11,0.5263157894736842,19
22,Wed,12,0.21052631578947367,19
22,Thu,1,0.0,19
22,Thu,2,0.0,19
22,Thu,3,0.0,19
22,Thu,4,0.42105263157894735,19
22,Thu,5,0.0,19
22,Thu,6,0.11764705882352941,17
22,Thu,7,0.058823529411764705,17
22,Thu,8,0.0,6
22,Thu,9,0.0,19
22,Thu,10,0.0,8
22,Thu,11,0.0,19
22,Thu,12,0.0,19
22,Fri,1,0.0,9
22,Fri,2,0.0,9
22,Fri,3,0.0,8
22,Fri,4,0.0,10
22,Fri,5,0.0,11
22,Fri,6,0.0,11
22,Fri,7,0.0,11
22,Fri,8,0.0,0
22,Fri,9,0.0,8
22,Fri,10,0.0,4
22,Fri,11,0.0,9
22,Fri,12,0.0,9
22,Sat,1,0.5,6
22,Sat,2,0.6,5
22,Sat,3,0.75,4
22,Sat,4,0.5,2
22,Sat,5,1.0,3
22,Sat,6,0.6666666666666666,3
22,Sat,7,0.6666666666666666,3
22,Sat,8,0.6666666666666666,3
22,Sat,9,1.0,3
22,Sat,10,0.75,4
22,Sat,11,0.8,5
22,Sat,12,0.0,1
97,Sun,1,0.0,40
97,Sun,2,0.0,40
97,Sun,3,0.027777777777777776,36
97,Sun,4,0.0,32
97,Sun,5,0.0,39
97,Sun,6,0.0,38
97,Sun,7,0.025,40
97,Sun,8,0.0,12
97,Sun,9,0.02564102564102564,39
97,Sun,10,0.0,38
97,Sun,11,0.0,31
97,Sun,12,0.0,40
97,Mon,1,0.0,40
97,Mon,2,0.0,33
97,Mon,3,0.0,36
97,Mon,4,0.029411764705882353,34
97,Mon,5,0.0,35
97,Mon,6,0.03225806451612903,31
97,Mon,7,0.0,40
97,Mon,8,0.0,13
97,Mon,9,0.02702702702702703,37
97,Mon,10,0.0,39
97,Mon,11,0.08571428571428572,35
97,Mon,12,0.0,39
97,Tue,1,0.0,40
97,Tue,2,0.0,37
97,Tue,3,0.0,38
97,Tue,4,0.0,38
97,Tue,5,0.0,36
97,Tue,6,0.12121212121212122,33
97,Tue,7,0.0,39
97,Tue,8,0.0,13
97,Tue,9,0.0,39
97,Tue,10,0.0,38
